x,y
0,102.655993438563
0.01,101.713198265242
0.02,103.645442415863
0.03,101.788947906135
0.04,117.153333702217
0.05,94.7060688509241
0.06,90.8601262433232
0.07,94.9940420411249
0.08,95.3336209987054
0.09,99.160679126555
0.1,100.740596706864
0.11,100.525493745847
0.12,104.922794655243
0.13,104.126795558332
0.14,106.258103416391
0.15,112.176822570791
0.16,109.085104099655
0.17,94.8821052873222
0.18,88.9970555771827
0.19,107.466324834055
0.2,91.946393597413
0.21,102.850167667525
0.22,102.742048792934
0.23,115.293290392529
0.24,102.285838242893
0.25,99.8608935089324
0.26,104.162890365559
0.27,104.289810973865
0.28,103.358893886971
0.29,99.5642519892225
0.3,96.1375677413415
0.31,104.972408190333
0.32,95.5926200585272
0.33,97.4319102847151
0.34,110.961016363756
0.35,101.064427523004
0.36,102.72089499905
0.37,108.714313701763
0.38,101.950926009792
0.39,109.592038152709
0.4,101.834916194754
0.41,109.637710250728
0.42,107.52393844317
0.43,102.796920404612
0.44,99.150021673892
0.45,98.2097004660708
0.46,102.682010474037
0.47,101.794869928519
0.48,102.032679012716
0.49,110.031099420643
0.5,102.804672483631
0.51,111.083029655603
0.52,101.612526503523
0.53,110.248573255909
0.54,101.805884744064
0.55,105.855576304849
0.56,110.448163694445
0.57,102.632508156693
0.58,102.564134372539
0.59,116.538921103132
0.6,110.615723597345
0.61,102.809821868678
0.62,109.035591679949
0.63,103.359435278023
0.64,109.499878325263
0.65,113.612985934023
0.66,96.4825943575304
0.67,111.549118749642
0.68,114.062843833995
0.69,106.100339982112
0.7,115.844593392589
0.71,106.854901766196
0.72,98.9948432537712
0.73,93.6184753658574
0.74,104.281311394286
0.75,110.31349076335
0.76,108.127575500435
0.77,108.745430980212
0.78,103.173609488942
0.79,107.350062339329
0.8,97.2681163793736
0.81,102.341434827192
0.82,102.077132067876
0.83,109.769755250716
0.84,106.799361208853
0.85,100.369484286458
0.86,106.965757449551
0.87,103.161662731532
0.88,103.363277582654
0.89,112.151163408641
0.9,107.945901699079
0.91,109.638599172665
0.92,112.474037137117
0.93,108.536532618143
0.94,110.717009701145
0.95,111.539349136495
0.96,114.386389356413
0.97,110.499933782715
0.98,115.902391339737
0.99,108.058750934716
1,107.727392989917
1.01,117.758770994236
1.02,105.237290620823
1.03,108.19374155551
1.04,113.518464671831
1.05,109.203131686802
1.06,116.420823578774
1.07,114.379121668052
1.08,110.220436263686
1.09,104.201157607752
1.1,111.927224402083
1.11,100.896240565117
1.12,110.232235877715
1.13,113.513902240553
1.14,110.193231167072
1.15,114.059590894832
1.16,120.731004945971
1.17,114.451616159406
1.18,110.780043107295
1.19,112.984137871063
1.2,111.82305660541
1.21,101.982904551719
1.22,107.168618839356
1.23,116.584359714569
1.24,109.431796399701
1.25,113.066787642412
1.26,104.088177219476
1.27,110.257410338687
1.28,113.378546263506
1.29,102.276436308245
1.3,112.079472646303
1.31,109.134438127396
1.32,104.889531668883
1.33,110.096255766766
1.34,99.5809135722454
1.35,98.3315848862119
1.36,103.817649818383
1.37,104.949111052861
1.38,103.979808328613
1.39,100.904023271771
1.4,112.441403087778
1.41,101.79143280007
1.42,111.567674976637
1.43,115.492192122088
1.44,111.067318883681
1.45,111.68023633622
1.46,109.066468881389
1.47,102.846447014948
1.48,111.110461652115
1.49,116.90171329173
1.5,121.398967873055
1.51,109.120058859564
1.52,102.372712527925
1.53,112.657316717414
1.54,113.922761408013
1.55,110.557561105601
1.56,105.377167266528
1.57,123.518181668354
1.58,98.6229710793519
1.59,109.225808074677
1.6,104.673598502619
1.61,108.647372953385
1.62,114.150102205186
1.63,113.196156449173
1.64,108.432501549231
1.65,116.974884435984
1.66,116.164412725829
1.67,116.376708620413
1.68,110.33611009619
1.69,118.801464128043
1.7,116.662598756215
1.71,127.256972823517
1.72,119.096196456348
1.73,119.698444506904
1.74,113.481704149863
1.75,105.912891510908
1.76,111.205966969425
1.77,109.074521959397
1.78,110.248306362175
1.79,116.691406466631
1.8,110.429256876256
1.81,108.572504241696
1.82,111.40895798746
1.83,112.893781056822
1.84,116.211080217977
1.85,108.524922697443
1.86,115.827061482054
1.87,114.534309234311
1.88,121.702118355592
1.89,113.016035410212
1.9,113.534170192537
1.91,107.699355724296
1.92,106.55119759971
1.93,116.278284671782
1.94,113.159208149801
1.95,117.518724729425
1.96,109.636466380115
1.97,125.658607691059
1.98,115.556080140777
1.99,120.892651451806
2,113.707733461085
2.01,114.144582949436
2.02,119.06971176816
2.03,118.374927060751
2.04,108.900364966236
2.05,106.621610450586
2.06,109.167855911649
2.07,107.427445429708
2.08,115.899242952089
2.09,113.288005714139
2.1,113.604250226788
2.11,108.019578847311
2.12,120.279485360861
2.13,118.412361085439
2.14,115.469617331475
2.15,121.86542278143
2.16,111.142856397445
2.17,118.551637765084
2.18,118.244305076495
2.19,118.318936187997
2.2,112.247078200352
2.21,118.331291847554
2.22,113.607848927882
2.23,111.504912979607
2.24,109.827620973022
2.25,122.660158850843
2.26,112.002511725938
2.27,115.905289182201
2.28,110.076960886757
2.29,115.33792048221
2.3,98.6941713930913
2.31,110.979977932407
2.32,109.116722635156
2.33,111.532899563865
2.34,116.165484711722
2.35,115.597207470632
2.36,128.592968437293
2.37,114.333862379276
2.38,116.236114653891
2.39,108.793052661839
2.4,115.081398287204
2.41,110.250482370458
2.42,118.112547065973
2.43,122.868163740997
2.44,120.38214510545
2.45,114.160103723753
2.46,108.934374362262
2.47,126.604492015941
2.48,130.034595893245
2.49,119.116227552129
2.5,112.862702290213
2.51,125.391076317294
2.52,115.264937744186
2.53,116.034526765036
2.54,123.827747307886
2.55,110.961441804867
2.56,107.776665614268
2.57,121.385712108736
2.58,121.342125202692
2.59,119.671816142478
2.6,122.028521311128
2.61,125.433150365814
2.62,124.866512000214
2.63,116.172106533271
2.64,124.092633916785
2.65,120.536610192661
2.66,116.741033089007
2.67,112.894354883985
2.68,123.444374059504
2.69,117.816187858815
2.7,120.164435626567
2.71,115.45431771493
2.72,111.210120686344
2.73,121.087151025377
2.74,119.826129732032
2.75,127.078231288651
2.76,124.885549242785
2.77,126.388365359171
2.78,116.195292089615
2.79,115.197802137811
2.8,113.372796884351
2.81,123.505903097691
2.82,136.623276263249
2.83,124.953381685534
2.84,116.477549823136
2.85,125.7144670217
2.86,114.594377649461
2.87,112.977919011587
2.88,125.245694886106
2.89,116.799978886111
2.9,123.099478325975
2.91,129.379944906448
2.92,123.724327028775
2.93,126.804235073356
2.94,112.435267784315
2.95,125.417320648876
2.96,133.898355713816
2.97,124.871684041044
2.98,113.085003201015
2.99,120.773141169662
3,119.152794997309
3.01,124.251246921013
3.02,124.486461591209
3.03,124.519201456604
3.04,120.208339155062
3.05,118.937261921324
3.06,119.062405005847
3.07,127.35074956194
3.08,112.0074783022
3.09,121.449448698608
3.1,124.239751442265
3.11,119.052595648291
3.12,125.557716861302
3.13,122.503848420845
3.14,117.636556085077
3.15,123.968934044
3.16,121.592750483919
3.17,120.855854738844
3.18,119.209155077768
3.19,123.679920115705
3.2,112.886651935656
3.21,121.201570115059
3.22,120.444598832795
3.23,118.416914820762
3.24,127.396991927792
3.25,119.568467545899
3.26,126.898800626295
3.27,129.447224637592
3.28,123.06665340282
3.29,125.612013276323
3.3,127.741927048934
3.31,123.708845904585
3.32,127.320150602576
3.33,117.119938001182
3.34,130.70364847901
3.35,118.814632403246
3.36,114.105133937049
3.37,132.474450589816
3.38,124.302783069668
3.39,127.28651873981
3.4,122.731313429365
3.41,119.057975451084
3.42,107.439926072596
3.43,128.576537466312
3.44,123.447387166955
3.45,124.02617040715
3.46,127.529843956726
3.47,117.207085706454
3.48,121.205950797574
3.49,131.96380960912
3.5,128.904723167771
3.51,118.273351649623
3.52,113.092837318904
3.53,122.456862964409
3.54,126.99866845576
3.55,131.216653923186
3.56,126.453748497459
3.57,119.598652344376
3.58,127.803509417591
3.59,119.453780226458
3.6,120.727481736859
3.61,122.547105830713
3.62,119.338841528919
3.63,124.866906120709
