x,y,y_pred
0,-0.482633203252096,0
0.01,20.7622851344266,0.06
0.02,-18.9175874035914,0.12
0.03,-0.533832439963747,0.18
0.04,6.40781608236132,0.24
0.05,13.7709585627528,0.3
0.06,8.6186939329364,0.36
0.07,-21.4171561012268,0.42
0.08,-0.870096509554871,0.48
0.09,-6.18162900033912,0.54
0.1,-25.5698683932524,0.6
0.11,-13.2115659112658,0.66
0.12,13.4450754528554,0.72
0.13,-13.8514763765735,0.78
0.14,2.9811638982705,0.84
0.15,41.8051516716288,0.9
0.16,-9.15266501644044,0.96
0.17,-24.6384575890324,1.02
0.18,9.98050893461007,1.08
0.19,-31.1091132270468,1.14
0.2,10.3719196451743,1.2
0.21,16.8766326542199,1.26
0.22,-16.4589022074882,1.32
0.23,-16.7804403508327,1.38
0.24,10.3289182511032,1.44
0.25,-0.308048604962502,1.5
0.26,15.1288446781686,1.56
0.27,0.355727030722458,1.62
0.28,-24.9164474379541,1.68
0.29,-19.6204162700016,1.74
0.3,-0.712668779276042,1.8
0.31,-0.270665642225015,1.86
0.32,-8.95491951130801,1.92
0.33,19.8433052051203,1.98
0.34,26.5082213600228,2.04
0.35,-2.279288354861,2.1
0.36,-15.3727153332298,2.16
0.37,-13.2208816598386,2.22
0.38,1.33050587257749,2.28
0.39,25.6193113299348,2.34
0.4,10.6058251106926,2.4
0.41,20.5499007867795,2.46
0.42,-17.8572757584623,2.52
0.43,4.63383989996648,2.58
0.44,1.64009165004333,2.64
0.45,15.9784371932581,2.7
0.46,14.4761914276125,2.76
0.47,21.0578293323716,2.82
0.48,-5.00763988851254,2.88
0.49,31.7429230692725,2.94
0.5,7.72578147461009,3
0.51,0.855611885812936,3.06
0.52,27.0134121064722,3.12
0.53,-7.3278789423265,3.18
0.54,23.0791319701586,3.24
0.55,-10.8990221651027,3.3
0.56,14.5976990631638,3.36
0.57,8.1789037455112,3.42
0.58,-9.30871980334931,3.48
0.59,-22.5922656583955,3.54
0.6,9.39100574084977,3.6
0.61,28.7223953050675,3.66
0.62,15.7344959508771,3.72
0.63,19.5442005205143,3.78
0.64,14.6984960543165,3.84
0.65,12.8943265144658,3.9
0.66,7.55548773162442,3.96
0.67,-14.6798445646007,4.02
0.68,5.30121469152326,4.08
0.69,-33.0720668496835,4.14
0.7,4.68567800975267,4.2
0.71,10.2816946512416,4.26
0.72,36.2867600711348,4.32
0.73,-19.3992012612853,4.38
0.74,10.1360788707512,4.44
0.75,-14.1884307218036,4.5
0.76,-14.8409114425323,4.56
0.77,25.1245023449148,4.62
0.78,14.8512795363475,4.68
0.79,11.8731978527518,4.74
0.8,-6.62465971607137,4.8
0.81,4.89008330074761,4.86
0.82,1.29690069742106,4.92
0.83,22.027061642895,4.98
0.84,14.1473477675612,5.04
0.85,-0.728284825210915,5.1
0.86,9.69029840844692,5.16
0.87,-1.64092939453491,5.22
0.88,9.64748248516675,5.28
0.89,-6.9907927652101,5.34
0.9,14.66321677635,5.4
0.91,-2.85933472886754,5.46
0.92,11.5467819560165,5.52
0.93,2.24895591595203,5.58
0.94,-16.7953138586067,5.64
0.95,-1.97912458288948,5.7
0.96,45.2960927356483,5.76
0.97,-4.27086409318834,5.82
0.98,18.2738344525841,5.88
0.99,-15.5829415609149,5.94
1,-3.21097087133208,6
1.01,-0.369161941105349,6.06
1.02,-20.9629771789917,6.12
1.03,-6.09925951172878,6.18
1.04,6.40317128690579,6.24
1.05,-12.0852828456634,6.3
1.06,18.6965417445001,6.36
1.07,4.39476763125791,6.42
1.08,11.2467899109645,6.48
1.09,-1.59688800327319,6.54
1.1,33.0777058456197,6.6
1.11,25.8180825304776,6.66
1.12,-7.84860462341283,6.72
1.13,-8.46366989582471,6.78
1.14,-12.4505897601335,6.84
1.15,28.9864413632668,6.9
1.16,10.7591117642214,6.96
1.17,-2.91734835736334,7.02
1.18,1.46776826959104,7.08
1.19,14.1322053891387,7.14
1.2,9.38474596218302,7.2
1.21,-14.4932880927744,7.26
1.22,3.61844881908375,7.32
1.23,17.830131427754,7.38
1.24,16.3470752536373,7.44
1.25,-6.58953292023785,7.5
1.26,-9.55930113846806,7.56
1.27,-4.83669362168557,7.62
1.28,5.04497461595412,7.68
1.29,5.26764802929369,7.74
1.3,2.96177740282493,7.8
1.31,-1.6750027492356,7.86
1.32,-33.8119344022391,7.92
1.33,-5.29850632956926,7.98
1.34,12.0905898152379,8.04
1.35,1.2579347355717,8.1
1.36,1.03171999845091,8.16
1.37,-0.544474374890029,8.22
1.38,21.2412254888094,8.28
1.39,-6.58530299254389,8.34
1.4,-4.84821167504971,8.4
1.41,-3.73101778541198,8.46
1.42,20.3161575703036,8.52
1.43,25.1740762247533,8.58
1.44,3.43100753765759,8.64
1.45,2.80532335588035,8.7
1.46,35.1839255913189,8.76
1.47,6.81667730074494,8.82
1.48,36.6756924804415,8.88
1.49,25.9878876587606,8.94
1.5,16.4045030095636,9
1.51,22.0711509879938,9.06
1.52,16.6380047678464,9.12
1.53,31.9466096539507,9.18
1.54,20.8079907833929,9.24
1.55,11.0146081328486,9.3
1.56,8.68142274279503,9.36
1.57,0.409909342473776,9.42
1.58,8.84450741841664,9.48
1.59,8.56198086868027,9.54
1.6,15.1563144666804,9.6
1.61,-6.3972041065911,9.66
1.62,-24.5427242865232,9.72
1.63,52.8329015127398,9.78
1.64,2.34663476346198,9.84
1.65,31.8883403969846,9.9
1.66,17.3280361933657,9.96
1.67,11.6541680357948,10.02
1.68,28.970938717674,10.08
1.69,15.4189934929645,10.14
1.7,8.37997072533306,10.2
1.71,-18.9494414939076,10.26
1.72,6.26869181416808,10.32
1.73,-16.161648069552,10.38
1.74,14.836766131458,10.44
1.75,32.8191869831753,10.5
1.76,26.2256589416893,10.56
1.77,24.773702538244,10.62
1.78,1.10173886068946,10.68
1.79,6.74643877448964,10.74
1.8,-8.8449447844801,10.8
1.81,6.86027822434669,10.86
1.82,19.172917931468,10.92
1.83,-21.7983445831779,10.98
1.84,-7.37782274394313,11.04
1.85,-1.82174530079993,11.1
1.86,-9.7299448892177,11.16
1.87,22.698590136773,11.22
1.88,18.619586787199,11.28
1.89,-12.7851286837214,11.34
1.9,37.6985727361559,11.4
1.91,-23.1022706288317,11.46
1.92,-25.0239113532882,11.52
1.93,7.3746517441334,11.58
1.94,15.4871456638227,11.64
1.95,7.39809430493333,11.7
1.96,7.89742009122853,11.76
1.97,15.8391642953361,11.82
1.98,3.79984016014816,11.88
1.99,21.2876431497877,11.94
2,30.4918599751298,12
2.01,31.1840754119902,12.06
2.02,40.3922473662483,12.12
2.03,0.20535680009599,12.18
2.04,25.208735570202,12.24
2.05,32.0254715515006,12.3
2.06,14.9027712338086,12.36
2.07,11.9354164207969,12.42
2.08,29.1112604262262,12.48
2.09,0.311161963450495,12.54
2.1,27.4597892171768,12.6
2.11,64.7157031073239,12.66
2.12,-9.45374858954753,12.72
2.13,26.0797909025637,12.78
2.14,2.81846806995085,12.84
2.15,12.0256620243294,12.9
2.16,48.0348980305623,12.96
2.17,-14.3460464128152,13.02
2.18,23.818792021545,13.08
2.19,32.209699692248,13.14
2.2,-15.1427669177394,13.2
2.21,13.014241206871,13.26
2.22,0.38354910149306,13.32
2.23,23.8753372686959,13.38
2.24,29.5607233171578,13.44
2.25,24.9533773191304,13.5
2.26,2.7437059540308,13.56
2.27,-9.49346019539665,13.62
2.28,3.7162556199871,13.68
2.29,29.6277072959326,13.74
2.3,22.5570240698865,13.8
2.31,37.4680937884433,13.86
2.32,11.143140045877,13.92
2.33,2.1483927413121,13.98
2.34,5.37922913637014,14.04
2.35,1.14119104538107,14.1
2.36,15.0858814464474,14.16
2.37,14.9098626466874,14.22
2.38,24.8617027314538,14.28
2.39,6.97593803746786,14.34
2.4,25.0394266363109,14.4
2.41,16.4644258025582,14.46
2.42,13.8621573972514,14.52
2.43,2.95153864154645,14.58
2.44,24.0626976366088,14.64
2.45,46.6036551584307,14.7
2.46,6.71060619236037,14.76
2.47,15.4582991302978,14.82
2.48,4.97353119612401,14.88
2.49,12.1613506284356,14.94
2.5,12.5036634763279,15
2.51,3.68876531379357,15.06
2.52,2.05938977866725,15.12
2.53,28.3936586157046,15.18
2.54,22.0074999270778,15.24
2.55,40.586430836662,15.3
2.56,8.51972986637576,15.36
2.57,13.7193134163035,15.42
2.58,46.7130858311523,15.48
2.59,6.66964021116126,15.54
2.6,13.2884370621629,15.6
2.61,12.5527080387998,15.66
2.62,46.885798992377,15.72
2.63,26.8724265646208,15.78
2.64,29.8814251870745,15.84
2.65,18.2489805563551,15.9
2.66,28.3647907030397,15.96
2.67,0.752047102902159,16.02
2.68,32.4785148370409,16.08
2.69,-7.39581199158572,16.14
2.7,52.2688313618702,16.2
2.71,24.3693816383043,16.26
2.72,11.253188611279,16.32
2.73,33.512413782321,16.38
2.74,-17.0099745264835,16.44
2.75,-11.5668685732226,16.5
2.76,4.17106543995015,16.56
2.77,14.0350824171707,16.62
2.78,6.37333049530323,16.68
2.79,52.2575450513515,16.74
2.8,19.739842573329,16.8
2.81,2.50847793286279,16.86
2.82,27.6633934497336,16.92
2.83,3.18800929002967,16.98
2.84,11.0807829247928,17.04
2.85,16.812710968055,17.1
2.86,10.1539073029586,17.16
2.87,12.1091188922847,17.22
2.88,22.6970155203149,17.28
2.89,6.29893535672399,17.34
2.9,26.8330006797923,17.4
2.91,10.9676556084673,17.46
2.92,35.8863968235163,17.52
2.93,24.9139009795528,17.58
2.94,-7.85435199744511,17.64
2.95,13.7889578656353,17.7
2.96,8.4000125360516,17.76
2.97,12.3534612607502,17.82
2.98,5.45555027290475,17.88
2.99,9.47677786969346,17.94
3,-5.34952133347293,18
3.01,50.1110311074915,18.06
3.02,30.5461748221927,18.12
3.03,25.3206207339051,18.18
3.04,19.7682011501316,18.24
3.05,27.2060826964883,18.3
3.06,19.1415770958453,18.36
3.07,0.307503280684863,18.42
3.08,18.2062563060542,18.48
3.09,11.0600404214526,18.54
3.1,-4.99405478305041,18.6
3.11,21.6360836316308,18.66
3.12,-6.56790784303141,18.72
3.13,25.0847413157478,18.78
3.14,24.977826156528,18.84
3.15,24.4394191093506,18.9
3.16,11.6284279910803,18.96
3.17,-1.98690556729133,19.02
3.18,19.583757589535,19.08
3.19,18.4822134312802,19.14
3.2,25.2205856261798,19.2
3.21,35.3805312860827,19.26
3.22,32.506094105022,19.32
3.23,35.3280015585369,19.38
3.24,21.2417105599203,19.44
3.25,34.2645156278054,19.5
3.26,40.7973931525428,19.56
3.27,2.93535612430224,19.62
3.28,40.2171157926683,19.68
3.29,22.3069826419906,19.74
3.3,27.9012867099469,19.8
3.31,22.6153146111329,19.86
3.32,28.9614972534225,19.92
3.33,2.37956342865414,19.98
3.34,23.4390241402996,20.04
3.35,-0.169678861927096,20.1
3.36,3.584741417095,20.16
3.37,36.1214758071267,20.22
3.38,-1.07471123737852,20.28
3.39,7.95483672387778,20.34
3.4,-28.1681926164343,20.4
3.41,29.1445846399265,20.46
3.42,20.8860716619798,20.52
3.43,21.915999582748,20.58
3.44,24.2511427458513,20.64
3.45,25.6051352633136,20.7
3.46,17.372551708438,20.76
3.47,42.5477803969779,20.82
3.48,-10.0329442512119,20.88
3.49,34.1443042151481,20.94
3.5,25.8458337868508,21
3.51,37.1005918335031,21.06
3.52,7.33708846643392,21.12
3.53,25.4845078917872,21.18
3.54,-5.63471081835942,21.24
3.55,6.11976789047577,21.3
3.56,3.53272990495882,21.36
3.57,9.17704625571286,21.42
3.58,33.7323149322608,21.48
3.59,33.302866012905,21.54
3.6,21.7379882832534,21.6
3.61,-10.9520776031251,21.66
3.62,34.8817674025209,21.72
